m/z scope,importance
17,0.022827523724787628
22,0.01781069709930202
28,0.017123536180141577
21,0.016707468163194218
19,0.016110393266768937
15,0.01578525374466374
43,0.015688930096084058
11,0.015363791898570525
14,0.015354824290456828
25,0.01521402019228285
27,0.015181471160676337
26,0.015088842560013754
20,0.015010284513725231
36,0.014985391003744734
32,0.014972186534150151
18,0.01449414672174435
66,0.014337179988434638
38,0.01416170459128391
64,0.013958144096614777
12,0.01361150561471036
24,0.013610875282008585
58,0.013596842619744566
44,0.013492131184125533
13,0.01339048292755289
41,0.013268484695755624
75,0.01326162326244983
37,0.013246234069399072
61,0.01313176483679967
63,0.013119177498260123
68,0.013080294108110022
31,0.013024033934692501
48,0.012916474512019676
50,0.012775324347103347
39,0.0127475055820205
65,0.01267680395027557
53,0.012630963282751232
55,0.012593661469283026
45,0.012560837481001811
42,0.01254002984010447
73,0.012182647895423166
54,0.012102537240745512
23,0.012031010569836555
71,0.011957427520464487
57,0.011918934523711296
30,0.011802762983368765
67,0.011452628934397836
60,0.011358950823921696
46,0.011323199384468796
51,0.01129271421986694
16,0.011211912164079291
47,0.011119717277536325
70,0.011110991835001085
29,0.011030333356627857
49,0.011014740715847
34,0.01094615514919958
77,0.010891042713706705
40,0.010867274347061502
69,0.010818474279756504
52,0.010698963090235316
59,0.010519627812772896
74,0.01041474694497023
35,0.01026520498892421
62,0.010253534620658889
56,0.009880465917754096
33,0.009780476699791438
72,0.009478588523871121
76,0.008829004264975139
78,0.008760047206707894
84,0.008680767823215784
80,0.007731435676016497
81,0.007315448489268263
10,0.007185563653803524
85,0.006770364507453126
82,0.006621591584906979
79,0.006194778926679074
83,0.005996763653731445
86,0.005901325413488665
87,0.005496742933546493
88,0.005244203645412464
89,0.004347814173026146
90,0.004025174971885907
91,0.0037582984096888672
94,0.003400264613646106
92,0.0026882583707244123
93,0.0026836818150944904
98,0.002616352306496735
95,0.0024507021830800406
96,0.0023545065079608883
97,0.002312629576104934
99,0.0021881218333236253
100,0.0019458597344227152
101,0.0017787254421923618
103,0.0014508691307521476
106,0.0014090345581685131
102,0.0011838769316316526
105,0.0011308064861703306
104,0.0010158710933164952
107,0.0007874923229818936
109,0.0007349763234269621
112,0.0005071606299353508
110,0.0004935630765049932
108,0.00043231994813272654
111,0.0004296197134985329
115,0.00040410073407125724
114,0.00038955048336303483
137,0.00020917517186314787
116,0.0002057988672009808
135,0.00018404957755871435
113,0.00018161267823805146
168,0.00017789576910660684
118,0.0001762277291787827
117,0.00013020243128759984
140,0.0001277603059832743
148,0.00012471650472276424
125,0.00012396793124582077
151,0.00011881158967798801
119,0.00010354128594541005
143,8.422150283523278e-05
124,8.160096743824589e-05
144,7.917271913724019e-05
129,7.84262486617424e-05
158,7.373386714943396e-05
126,7.261737027068621e-05
132,6.674629515330016e-05
141,6.659623104308955e-05
130,6.31482059878918e-05
136,5.868909318565591e-05
120,5.789968618802974e-05
133,5.174670388863731e-05
154,4.832328741403656e-05
121,4.7912452994046785e-05
152,4.785088531797485e-05
134,4.7010677389896154e-05
147,4.146122469606817e-05
159,3.5698860780012545e-05
145,3.3377703975038706e-05
138,3.166119178683612e-05
156,3.05666519547102e-05
142,2.9773404622059407e-05
123,1.9446227172092755e-05
122,1.753872864630611e-05
139,1.4447364791604876e-05
127,1.4216151371191554e-05
146,9.144875016940342e-06
157,4.694025786514434e-06
153,3.0127984477085055e-06
128,1.9307472743618213e-06
8,0.0
7,0.0
6,0.0
5,0.0
4,0.0
3,0.0
2,0.0
1,0.0
9,0.0
199,0.0
198,0.0
188,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
189,0.0
178,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
179,0.0
177,0.0
131,0.0
165,0.0
149,0.0
150,0.0
155,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
166,0.0
176,0.0
167,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
0,0.0
